contract,expected_proposals,category,severity
"SOFTWARE AS A SERVICE AGREEMENT

1. SERVICE LEVELS. Provider guarantees 99.9% monthly uptime. Customer shall receive a credit of 10% of monthly fees per hour of excess downtime.

2. DATA PROCESSING. Provider shall process Customer Data solely as directed by Customer. A GDPR-compliant Data Processing Addendum is attached as Exhibit A.

3. INTELLECTUAL PROPERTY. Provider retains all rights in the Service and any improvements. Customer retains full ownership of all Customer Data.

4. LIMITATION OF LIABILITY. Provider's aggregate liability shall not exceed fees paid by Customer in the twelve (12) months preceding the claim.

5. TERMINATION. Either party may terminate upon thirty (30) days written notice. Immediate termination is permitted only for material uncured breach.",[],saas,none
"SOFTWARE AS A SERVICE AGREEMENT

1. SERVICE LEVELS. Provider will use commercially reasonable efforts to maintain availability. No uptime guarantee is provided and no credits shall be owed for downtime.

2. DATA PROCESSING. Provider processes Customer Data in accordance with its Privacy Policy.

3. INTELLECTUAL PROPERTY. All IP in the Service remains with Provider. Customer retains ownership of Customer Data.

4. LIMITATION OF LIABILITY. Provider's aggregate liability shall not exceed fees paid in the twelve months prior to the claim.

5. TERMINATION. Either party may terminate upon thirty (30) days written notice.","[{""clause_index"": 0, ""risk_level"": ""high"", ""suggested_revision"": ""SERVICE LEVELS. Provider guarantees 99.5% monthly uptime. For each hour of excess downtime, Customer shall receive a credit equal to 10% of monthly fees, applied to the next invoice."", ""reasoning"": ""Policy requires a minimum 99.5% uptime SLA with defined credit remedies. The current clause makes no commitment and waives all credits, leaving Customer with no contractual recourse for service failures.""}]",saas,high
"SOFTWARE AS A SERVICE AGREEMENT

1. SERVICE LEVELS. Provider guarantees 99.9% monthly uptime with 10% per-hour credits.

2. DATA PROCESSING. A Data Processing Addendum is incorporated by reference as Exhibit A.

3. INTELLECTUAL PROPERTY. Provider retains all IP. Customer retains ownership of Customer Data.

4. LIMITATION OF LIABILITY. Provider's total liability shall not exceed fees paid in the twelve months preceding the claim.

5. TERMINATION. Either party may terminate this Agreement upon five (5) days written notice.","[{""clause_index"": 4, ""risk_level"": ""medium"", ""suggested_revision"": ""TERMINATION. Either party may terminate this Agreement upon thirty (30) days written notice."", ""reasoning"": ""Five-day notice is below the 30-day minimum required by policy.""}]",saas,medium
"SOFTWARE AS A SERVICE AGREEMENT

1. SERVICE LEVELS. Provider guarantees 99.9% monthly uptime with defined credits.

2. DATA PROCESSING. A compliant Data Processing Addendum is attached as Exhibit A.

3. INTELLECTUAL PROPERTY. All improvements and derivative works created using the Service shall be jointly owned by Provider and Customer in equal shares.

4. LIMITATION OF LIABILITY. Provider's aggregate liability shall not exceed fees paid in the prior twelve months.

5. TERMINATION. Either party may terminate upon thirty (30) days written notice.","[{""clause_index"": 2, ""risk_level"": ""high"", ""suggested_revision"": ""INTELLECTUAL PROPERTY. Provider retains all right, title, and interest in the Service and any improvements or derivative works thereto. Customer retains full ownership of all Customer Data."", ""reasoning"": ""Policy requires platform IP to remain exclusively with Provider. Joint ownership creates legal ambiguity, hinders future development, and may expose proprietary technology to third-party claims.""}]",saas,high
"SOFTWARE AS A SERVICE AGREEMENT

1. SERVICE LEVELS. Provider will use best efforts to maintain the Service. No uptime SLA is provided.

2. DATA PROCESSING. Customer grants Provider an irrevocable license to use Customer Data for any purpose, including product improvement and marketing.

3. INTELLECTUAL PROPERTY. Provider retains all IP in the Service. Customer retains ownership of Customer Data.

4. LIMITATION OF LIABILITY. IN NO EVENT SHALL PROVIDER'S LIABILITY EXCEED $500.

5. TERMINATION. Either party may terminate upon thirty (30) days written notice.","[{""clause_index"": 0, ""risk_level"": ""high"", ""suggested_revision"": ""DATA PROCESSING. Provider shall process Customer Data solely as instructed by Customer and only as necessary to provide the Service. A Data Processing Addendum is incorporated by reference."", ""reasoning"": ""Granting Provider an irrevocable, purpose-unlimited license to Customer Data is a critical privacy and compliance risk, especially for EU/California customers requiring a DPA.""}, {""clause_index"": 3, ""risk_level"": ""high"", ""suggested_revision"": ""LIMITATION OF LIABILITY. Provider's aggregate liability shall not exceed fees paid by Customer in the twelve (12) months preceding the claim."", ""reasoning"": ""A $500 liability cap is grossly inadequate and violates the 12-month fees policy minimum.""}]",saas,high
"SOFTWARE AS A SERVICE AGREEMENT

1. SERVICE LEVELS. Provider will endeavour to maintain Service availability. No SLA or credits are provided.

2. DATA PROCESSING. No data processing terms are specified.

3. INTELLECTUAL PROPERTY. All derivative works created by Customer shall be jointly owned by both parties.

4. LIMITATION OF LIABILITY. Provider's total liability shall not exceed $100.

5. TERMINATION. Either party may terminate immediately upon written notice.","[{""clause_index"": 0, ""risk_level"": ""high"", ""suggested_revision"": ""SERVICE LEVELS. Provider guarantees 99.5% monthly uptime. Downtime credits of 10% of monthly fees per hour of excess downtime shall apply."", ""reasoning"": ""No SLA and no downtime credits violates policy requiring a 99.5% uptime minimum.""}, {""clause_index"": 1, ""risk_level"": ""high"", ""suggested_revision"": ""DATA PROCESSING. Provider processes Customer Data solely as instructed by Customer. A GDPR-compliant Data Processing Addendum is incorporated as Exhibit A."", ""reasoning"": ""Policy requires a DPA for any EU/California personal data processing.""}, {""clause_index"": 2, ""risk_level"": ""high"", ""suggested_revision"": ""INTELLECTUAL PROPERTY. Provider retains all IP in the Service. Customer retains full ownership of all Customer Data and derivative works."", ""reasoning"": ""Joint IP ownership of Customer derivative works violates policy \u2014 platform IP must remain with Provider.""}, {""clause_index"": 3, ""risk_level"": ""high"", ""suggested_revision"": ""LIMITATION OF LIABILITY. Provider's aggregate liability shall not exceed fees paid by Customer in the twelve (12) months preceding the claim."", ""reasoning"": ""A $100 flat cap is commercially unreasonable and violates policy.""}, {""clause_index"": 4, ""risk_level"": ""medium"", ""suggested_revision"": ""TERMINATION. Either party may terminate upon thirty (30) days written notice."", ""reasoning"": ""Immediate termination without notice violates the 30-day minimum required by policy.""}]",saas,high
"MUTUAL NON-DISCLOSURE AGREEMENT

1. CONFIDENTIAL INFORMATION. 'Confidential Information' means all non-public information disclosed by either party, excluding information that: (a) is or becomes publicly known through no breach of this Agreement; (b) was independently developed by the recipient; (c) was received from a third party without restriction; or (d) is required to be disclosed by law, provided prompt written notice is given.

2. TERM AND SURVIVAL. This Agreement shall remain in effect for two (2) years. Confidentiality obligations shall survive termination for three (3) years for general information.

3. RETURN OR DESTRUCTION. Upon request, each party shall promptly return or destroy all Confidential Information and certify such destruction in writing.

4. INJUNCTIVE RELIEF. Each party acknowledges that breach may cause irreparable harm and that either party shall be entitled to seek injunctive relief in addition to other remedies available at law or equity.",[],nda,none
"NON-DISCLOSURE AGREEMENT

1. CONFIDENTIAL INFORMATION. 'Confidential Information' means any and all information disclosed by Disclosing Party to Receiving Party, in any form whatsoever.

2. TERM AND SURVIVAL. Confidentiality obligations shall survive termination of this Agreement for three (3) years.

3. RETURN OR DESTRUCTION. Receiving Party shall return or destroy Confidential Information upon written request and provide written certification of destruction.

4. INJUNCTIVE RELIEF. Either party may seek injunctive relief for any breach hereof, on a mutual basis.","[{""clause_index"": 0, ""risk_level"": ""high"", ""suggested_revision"": ""CONFIDENTIAL INFORMATION. 'Confidential Information' means non-public information disclosed by Disclosing Party, excluding information that: (a) is or becomes public through no breach hereof; (b) was independently developed by Receiving Party; (c) was received from a third party without restriction; or (d) is required by law to be disclosed, provided prompt written notice is given to Disclosing Party."", ""reasoning"": ""Policy requires all four standard carve-outs in the definition of Confidential Information. Omitting them makes the scope unbounded and commercially unacceptable.""}]",nda,high
"NON-DISCLOSURE AGREEMENT

1. CONFIDENTIAL INFORMATION. 'Confidential Information' means non-public information disclosed by either party, excluding publicly known, independently developed, third-party received, or legally compelled disclosures.

2. TERM AND SURVIVAL. Confidentiality obligations shall survive in perpetuity.

3. RETURN OR DESTRUCTION. Upon termination, Receiving Party shall return all Confidential Information to Disclosing Party within 30 days.

4. INJUNCTIVE RELIEF. Either party may seek injunctive relief on a mutual basis.","[{""clause_index"": 1, ""risk_level"": ""high"", ""suggested_revision"": ""RETURN OR DESTRUCTION. Upon request, Receiving Party shall promptly return or, at its election, destroy all Confidential Information and provide written certification of such destruction."", ""reasoning"": ""Policy requires that Receiving Party have the option to destroy (not only return) Confidential Information, with written certification provided upon request.""}]",nda,high
"NON-DISCLOSURE AGREEMENT

1. CONFIDENTIAL INFORMATION. Means all non-public information disclosed hereunder with no exclusions.

2. TERM AND SURVIVAL. Confidentiality obligations shall survive in perpetuity.

3. RETURN OR DESTRUCTION. Receiving Party shall return all materials; destruction is not permitted.

4. INJUNCTIVE RELIEF. Disclosing Party shall be exclusively entitled to seek injunctive relief. Receiving Party waives any right to injunctive relief.","[{""clause_index"": 0, ""risk_level"": ""high"", ""suggested_revision"": ""CONFIDENTIAL INFORMATION. 'Confidential Information' means non-public information disclosed by either party, excluding: (a) publicly known information; (b) independently developed information; (c) information received from a third party without restriction; and (d) information required to be disclosed by law."", ""reasoning"": ""No carve-outs make the definition unenforceable and overbroad. Policy requires standard exclusions.""}, {""clause_index"": 1, ""risk_level"": ""high"", ""suggested_revision"": ""TERM AND SURVIVAL. Confidentiality obligations survive termination for three (3) years for general information; trade secrets survive as designated."", ""reasoning"": ""Perpetual obligations are commercially unreasonable and violate the 3-year policy cap.""}, {""clause_index"": 2, ""risk_level"": ""medium"", ""suggested_revision"": ""RETURN OR DESTRUCTION. Upon request, Receiving Party shall promptly return or destroy all Confidential Information and provide written certification of such destruction."", ""reasoning"": ""Policy requires destruction as an option. Return-only obligation is insufficient.""}, {""clause_index"": 3, ""risk_level"": ""medium"", ""suggested_revision"": ""INJUNCTIVE RELIEF. Either party acknowledges that breach may cause irreparable harm and that either party shall be entitled to seek injunctive or other equitable relief without prejudice to other remedies."", ""reasoning"": ""Policy requires injunctive relief to be mutual. Unilateral entitlement only for Disclosing Party is unacceptable.""}]",nda,high
